CID,Decline,Defect,Profit,Revenue,Balance,NetRev,FeeRev,ODFeeRev,Cost,Xsell
29,0,0,1.67,15.79,231.57,1.2,14.59,0,-14.12,2
30,1,0,15.17,43.76,2312.14,11.91,31.85,0,-28.59,3
31,1,0,149,155.06,247.63,1.32,153.74,112,-6.06,1
32,1,1,-4.44,4.31,237.67,1.29,3.02,0,-8.75,1
33,1,0,19.3,34.68,1200.81,6.32,28.36,0,-15.38,3
34,1,0,29.73,37.14,1186.29,5.57,31.57,0,-7.41,1
35,1,0,49.05,64.8,423.78,2.27,62.53,25,-15.75,1
36,0,0,22.98,40.9,5393.81,27.9,13,0,-17.92,2
37,1,1,82.94,100.19,117.06,0.58,99.61,81,-17.25,2
38,1,0,99.43,104.98,4989.05,26.74,78.24,0,-5.55,2
39,0,0,-10.73,16.47,680.3,3.61,12.86,0,-27.2,2
40,0,0,0.32,3.63,25.58,0.14,3.49,0,-3.31,1
41,0,0,6.74,10.38,82.53,0.38,10,0,-3.64,2
42,0,0,31.56,39.25,4200.33,22.51,16.74,0,-7.69,2
43,1,0,-2.99,0.35,65.36,0.35,0,0,-3.34,1
44,1,0,163.09,179.93,1030.74,5.53,174.4,156,-16.84,5
45,1,0,9.05,19.25,416.22,2.23,17.02,0,-10.2,1
46,1,1,8.38,19.88,1357.15,6.58,13.3,0,-11.5,2
47,0,0,39.48,52.3,6131.26,32.87,19.43,5,-12.82,1
48,1,0,-3.82,0.13,23.87,0.13,0,0,-3.95,1
49,1,0,20.08,31.4,612.12,8.08,23.32,0,-11.32,2
50,1,0,47.98,62.82,777.58,4.16,58.66,24,-14.84,6
51,0,0,171.18,176.51,221.61,0.91,175.6,168,-5.33,1
52,1,0,102.36,121.78,720.02,3.84,117.94,72,-19.42,4
53,1,1,38.57,45.15,8644.439,42.07,3.08,0,-6.58,2
54,1,0,-5.48,4.12,215.39,1.16,2.96,0,-9.6,1
55,1,0,11.19,22.31,959.53,4.34,17.97,0,-11.12,2
56,1,0,3.58,12.53,444.37,2.38,10.15,0,-8.95,1
57,0,0,6.04,17.87,69.11,0.37,17.5,0,-11.83,1
58,0,0,-1.7,6.39,578.56,3.1,3.29,0,-8.09,2
59,1,0,6.89,11.51,465.69,2.49,9.02,0,-4.62,2
60,1,0,-2.93,1.68,41.82,0.23,1.45,0,-4.61,2
61,1,0,5.24,13.82,227.1,1.22,12.6,0,-8.58,1
62,1,0,112.88,130.56,254.75,1.36,129.2,100,-17.68,2
63,1,0,20.86,37.04,1009.87,5.04,32,0,-16.18,2
64,0,0,-3.82,5.69,935.5,4.69,1,0,-9.51,2
65,1,0,0.3,6.23,324.07,1.73,4.5,0,-5.93,3
66,1,0,-3.1,1.15,214.42,1.15,0,0,-4.25,1
67,1,0,13.21,23.27,3078.92,15.67,7.6,0,-10.06,2
68,0,0,85.99,103.59,2980.22,14.72,88.87,33,-17.6,2
69,1,0,32.68,40.72,6069.44,31.69,9.03,0,-8.04,2
70,1,0,3.66,3.81,793.26,3.81,0,0,-0.15,2
71,1,0,60.11,69.75,1227.63,6.58,63.17,48,-9.64,1
72,1,1,5.34,11.91,506.01,2.72,9.19,0,-6.57,2
73,1,0,-11.04,9.75,1015.1,5.42,4.33,0,-20.79,2
74,0,0,49.01,58.04,6613.71,32.53,25.51,5,-9.03,2
75,1,0,29.29,37.72,494.71,2.65,35.07,0,-8.43,4
76,1,0,72.32,80.22,513.49,2.75,77.47,72,-7.9,1
77,1,0,-3.39,0.78,25.04,0.14,0.64,0,-4.17,1
78,1,0,50.83,61.22,5394.87,28.32,32.9,0,-10.39,4
79,1,0,5.130001,44.71,1100.06,5.81,38.9,0,-39.58,3
80,1,0,11.3,15.4,1382.34,7.4,8,0,-4.1,2
81,0,0,-0.83,0.26,50,0.26,0,0,-1.09,1
82,1,1,-3.73,0.22,39.7,0.22,0,0,-3.95,1
83,1,0,34.76,42.38,445.22,2.38,40,0,-7.62,1
84,1,0,-5.02,11.66,29.27,0.16,11.5,0,-16.68,1
85,0,0,-16.17,2.22,439.64,2.17,0.05,0,-18.39,3
86,1,0,2.73,24.28,664.59,3.41,20.87,0,-21.55,4
87,0,0,18.43,24.13,2568.67,12.95,11.18,0,-5.7,2
88,1,0,-5.87,6.79,84.9,0.43,6.36,0,-12.66,2
89,1,0,62.78,78.85,462.4,2.47,76.38,25,-16.07,1
90,0,0,31.94,51.63,5115.28,27.39,24.24,0,-19.69,2
91,1,0,32.37,43.34,1212.57,6.5,36.84,0,-10.97,2
92,1,0,-5.54,1.17,168.87,0.9,0.27,0,-6.71,1
93,1,0,26.63,32.87,502.41,2.7,30.17,25,-6.24,1
94,1,1,-3.57,9.58,243.94,1.31,8.27,0,-13.15,1
95,1,0,78.45,88.76,18400.95,88.62,0.14,0,-10.31,2
96,0,0,94.96,107.88,198.41,1.07,106.81,25,-12.92,2
97,0,0,33.52,50.06,4495.43,24.08,25.98,0,-16.54,2
98,0,0,5.06,10.05,1046.6,5.6,4.45,0,-4.99,1
99,1,0,-3.4,0.58,107.42,0.58,0,0,-3.98,1
100,0,0,43.18,59.61,862.46,4.61,55,0,-16.43,3
101,1,0,253.61,277.61,3227.67,17.3,260.31,224,-24,1
102,1,0,-8.36,1.5,178.43,0.95,0.55,0,-9.86,1
103,1,0,20.2,26.9,805.8,4.29,22.61,0,-6.7,2
104,1,0,-1.65,5.69,130.96,0.69,5,0,-7.34,2
105,1,1,1.04,7.22,149.25,0.79,6.43,0,-6.18,1
106,1,0,255.07,267,292.87,1.58,265.42,198,-11.93,1
107,0,0,-2.27,11.64,436.73,2.31,9.33,0,-13.91,2
108,1,0,-3.67,1.43,22.27,0.12,1.31,0,-5.1,1
109,1,0,-0.07,10.62,1629.31,8.72,1.9,0,-10.69,1
110,1,0,23.16,28.9,2725.96,13.53,15.37,0,-5.74,2
111,1,0,0.7600001,9.719999,1281.04,6.02,3.7,0,-8.96,2
112,1,1,57.58,84.61,166.8,0.77,83.84,159,-27.03,3
113,0,0,1.15,1.27,273.87,1.27,0,0,-0.12,1
114,1,0,31.94,37.78,3230.14,17.31,20.47,0,-5.84,2
115,1,0,28.1,44.55,175.06,0.94,43.61,18,-16.45,1
116,1,1,-0.46,3.67,685.85,3.67,0,0,-4.13,1
117,1,1,25.43,30.89,3804.96,20.39,10.5,0,-5.46,2
118,1,0,-12.19,3.25,604.86,3.25,0,0,-15.44,1
119,1,0,19.81,29.54,2944.47,15.78,13.76,0,-9.73,1
120,1,0,31.95,52.52,1234.15,6.33,46.19,0,-20.57,2
121,1,0,-1.32,0.12,22.58,0.12,0,0,-1.44,1
122,1,0,56.51,63.49,159.01,0.85,62.64,52,-6.98,1
123,1,0,-3.23,6.8,265.65,1.44,5.36,0,-10.03,1
124,1,0,26.34,38.17,977.7,5.19,32.98,0,-11.83,2
125,0,0,17.27,22.62,4125.86,22.12,0.5,0,-5.35,1
126,1,0,13.3,22.61,2126.45,10.94,11.67,0,-9.309999,2
127,1,0,54.01,63.99,246.17,1.31,62.68,48,-9.98,1
128,1,0,0.55,3.3,56.97,0.3,3,0,-2.75,3
129,1,0,29.28,46.28,564.88,3.02,43.26,30,-17,1
130,1,0,3.83,20.25,961.26,12.75,7.5,0,-16.42,2
131,0,0,87.78,100.14,26296.73,99.24,0.9,0,-12.36,2
132,0,0,56.97,66.79,10764.03,51.74,15.05,0,-9.82,2
133,1,1,-4.09,0.01,2.26,0.01,0,0,-4.1,1
134,0,0,39.52,50.04,7836.48,41.04,9,0,-10.52,1
135,1,0,-4.31,1.05,196.63,1.05,0,0,-5.36,1
136,1,0,52.82,77.76,4522.11,21.65,56.11,0,-24.94,2
137,1,0,17.53,26.01,2430.03,12.46,13.55,0,-8.48,2
138,1,0,-1.8,0.18,32.26,0.18,0,0,-1.98,1
139,1,0,4.4,9.89,62.27,0.24,9.65,0,-5.49,1
140,1,0,42.71,52.15,6163.3,33.02,19.13,0,-9.44,2
141,1,0,23.46,33.97,3714.6,19.87,14.1,0,-10.51,2
142,1,0,13.3,30.04,4991.01,26.17,3.87,0,-16.74,2
143,0,0,3.14,11.38,1190.25,6.38,5,0,-8.24,2
144,0,0,24.26,28.2,5851.95,28.2,0,0,-3.94,1
145,0,0,-1.94,3.3,616.31,3.3,0,0,-5.24,2
146,0,0,-3.67,3.68,950.31,3.68,0,0,-7.35,2
147,1,0,-0.18,12.95,679.42,3.64,9.309999,0,-13.13,2
148,1,0,114.12,131.26,1013.61,5.43,125.83,112,-17.14,2
149,1,0,24.88,34.47,2934.94,15.67,18.8,0,-9.59,2
150,1,0,142.03,151.26,-42.62,-0.23,151.49,147,-9.23,4
151,1,0,101.95,111.12,13.76,0.08,111.04,109,-9.17,1
152,1,0,48.88,62.61,487.45,2.61,60,60,-13.73,1
153,1,0,-3.91,0.37,69.89,0.37,0,0,-4.28,1
154,1,0,-4.53,3.72,797.31,3.72,0,0,-8.25,1
155,1,0,74.48,91.39,4009.56,21.49,69.9,27,-16.91,2
156,1,0,27.13,37.39,161.58,0.86,36.53,25,-10.26,2
157,1,0,34.38,49.14,3145.24,27.53,21.61,0,-14.76,2
158,1,0,-9.96,3.18,252.68,1.35,1.83,0,-13.14,2
159,1,0,20.68,35.07,1657.3,8.89,26.18,0,-14.39,2
160,1,0,2.73,14.03,1023.8,5.41,8.62,0,-11.3,2
161,1,0,-11.3,1.55,272.31,1.46,0.09,0,-12.85,1
162,1,0,42.88,49.97,463.31,2.48,47.49,36,-7.09,2
163,0,0,-3.49,3.85,827.64,3.85,0,0,-7.34,2
164,1,0,86.9,95.03,35.15,0.19,94.84,89,-8.13,1
165,1,0,120.99,128.29,99.9,0.54,127.75,112,-7.3,1
166,1,0,46.19,51.24,66.32,0.35,50.89,30,-5.05,1
167,1,0,-1.29,3.08,575.42,3.08,0,0,-4.37,1
168,1,0,26.47,34.56,3785.21,20.29,14.27,0,-8.09,1
169,1,0,3.09,6.48,16.48,0.08,6.4,0,-3.39,1
170,1,0,7.72,25.36,1567.49,8.18,17.18,0,-17.64,2
171,0,0,107.24,119.36,21753.45,109.22,10.14,0,-12.12,3
172,1,0,-1.89,11.49,926.37,4.98,6.51,0,-13.38,1
173,1,0,8.38,20.28,748.21,3.79,16.49,0,-11.9,1
174,1,0,29.54,43.12,348.04,1.86,41.26,24,-13.58,1
175,1,0,5.28,18.59,1314.17,6.83,11.76,0,-13.31,2
176,1,1,231.71,239.13,-54.52,-0.29,239.42,218,-7.42,2
177,1,1,32.03,41.56,474.64,2.54,39.02,32,-9.53,1
178,1,0,1.61,10.81,89.69,0.45,10.36,0,-9.2,3
179,1,0,3.64,7.74,605.58,3.26,4.48,0,-4.1,1
180,1,0,6.06,13.98,627.77,3.06,10.92,0,-7.92,1
181,0,0,-3.61,4.31,841.94,4.31,0,0,-7.92,1
182,1,0,23,32.91,7232.72,32.19,0.72,0,-9.91,4
183,1,1,0.81,8.84,533.04,2.84,6,0,-8.03,4
184,1,0,44.25,52.92,480.79,2.57,50.35,0,-8.67,2
185,1,0,141.06,150.46,1133.67,6.08,144.38,138,-9.4,1
186,1,0,51.18,67.81001,10881.44,58.31,9.5,0,-16.63,12
187,1,0,69.34,76.5,11579.89,62.07,14.43,0,-7.16,1
188,1,1,127.35,137.22,678.73,3.63,133.59,96,-9.87,1
189,1,0,8.37,26.39,615.27,3.26,23.13,0,-18.02,2
190,1,0,32.73,41.21,735.45,3.94,37.27,0,-8.48,1
191,1,0,11.12,15.06,1006.9,5.06,10,0,-3.94,1
192,1,0,61.78,69.07,2144.68,11.5,57.57,0,-7.29,1
193,1,0,-3.95,0,0.34,0,0,0,-3.95,1
194,0,0,17.1,32.49,4678.84,25.09,7.4,0,-15.39,3
195,1,0,63.71,76.28,708.31,3.78,72.5,50,-12.57,2
196,1,0,34.6,40.59,235.1,1.26,39.33,0,-5.99,1
197,1,0,1.62,11.01,189.33,1.01,10,10,-9.39,1
198,1,1,22.62,31.29,302.57,1.62,29.67,0,-8.67,2
199,1,0,9.31,15.03,5.85,0.03,15,0,-5.72,1
200,1,0,-4.75,3.08,312.82,1.66,1.42,0,-7.83,1
201,1,0,-14.3,6.82,543,2.79,4.03,0,-21.12,2
202,0,0,2.47,8.1,1509.88,8.1,0,0,-5.63,1
203,1,0,5.98,10.61,295.3,1.58,9.03,0,-4.63,1
204,1,1,-10.64,1.85,56.99,0.3,1.55,0,-12.49,1
205,1,1,6.21,17.81,59.44,0.31,17.5,0,-11.6,1
206,1,0,90.91,109.38,348.91,1.86,107.52,30,-18.47,1
207,0,0,16.18,25.7,989.3,5.16,20.54,0,-9.52,2
208,1,0,53.73,63.39,442.89,2.37,61.02,36,-9.66,2
209,0,0,11.26,27.05,2324.36,11.87,15.18,0,-15.79,2
210,1,0,4.57,11.57,70.21,0.37,11.2,0,-7,1
211,1,0,15.28,20.03,1392.64,7.47,12.56,0,-4.75,2
212,1,0,116.56,131.68,80.36,0.43,131.25,110,-15.12,1
213,1,1,21.94,47.44,1205.1,6.46,40.98,5,-25.5,1
214,1,1,-5,0,0,0,0,0,-5,2
215,1,1,72.4,79.95,226.15,1.21,78.74,56,-7.55,1
216,1,0,53.21,59.07,105.99,0.57,58.5,52,-5.86,1
217,0,0,31.05,44.35,1667.68,8.190001,36.16,0,-13.3,2
218,1,0,19.62,26.4,4846.19,24.95,1.45,0,-6.78,2
219,1,0,11.89,21.2,393.52,2.11,19.09,0,-9.31,1
220,1,0,14.12,21.11,886.1,4.44,16.67,0,-6.99,2
221,0,0,14.9,26.61,1873.45,10.04,16.57,0,-11.71,2
222,1,0,27.59,56.84,3064,32.03,24.81,0,-29.25,3
223,0,0,3.02,14.55,698.99,3.62,10.93,0,-11.53,2
224,0,0,11.14,14.29,2665.84,11.29,3,3,-3.15,1
225,0,0,59.62,64.12,12301.87,63.49,0.63,0,-4.5,1
226,1,0,206.26,213.65,23784.81,127.48,86.17,0,-7.39,1
227,1,0,50.5,58.31,11149.11,58.31,0,0,-7.81,2
228,1,0,36.05,46.23,4440.23,23.81,22.42,0,-10.18,2
229,1,0,53.51,59.03,1694.26,9.08,49.95,18,-5.52,1
230,1,0,12.07,19.6,1225.48,5.8,13.8,0,-7.53,2
231,1,0,-3.51,2.27,317.1,1.7,0.57,0,-5.78,2
232,0,0,29.63,36.2,5100.37,27.19,9.01,0,-6.57,2
233,0,0,79,87.98,16415.35,87.98,0,0,-8.98,1
234,0,0,11.92,15.99,3332.51,15.99,0,0,-4.07,2
235,1,0,1.08,8.11,1415.97,7.59,0.52,0,-7.03,2
236,1,0,104.76,115.18,807.86,4.33,110.85,109,-10.42,2
237,1,0,80.39,84.43,15717.93,84.24,0.19,0,-4.04,1
238,1,0,27.75,32.93,1767.74,9.48,23.45,18,-5.18,1
239,0,0,-0.34,7.93,1693.48,7.93,0,0,-8.27,2
240,1,0,667.85,688.93,126336.6,632.87,56.06,28,-21.08,2
241,1,0,43.55,50.32,9361.88,50.18,0.14,0,-6.77,2
242,1,0,-0.7,0.52,96.77,0.52,0,0,-1.22,1
243,0,0,-6.68,1.43,266.09,1.43,0,0,-8.11,2
244,1,0,32.04,39.37,1152.72,6.17,33.2,0,-7.33,1
245,1,0,6.12,15.69,421.71,2.21,13.48,0,-9.570001,2
246,1,0,158.32,168.48,1077.48,5.78,162.7,141,-10.16,2
247,1,0,-5.83,0.81,175.81,0.81,0,0,-6.64,1
248,1,0,6.12,35.22,835.35,4.48,30.74,0,-29.1,2
249,1,0,2.74,11.73,965.0699,4.78,6.95,2.25,-8.99,2
250,1,0,4.99,15.82,42.55,0.23,15.59,0,-10.83,1
251,1,1,-2.31,0,0,0,0,0,-2.31,1
252,1,0,0.19,6.55,343.08,1.85,4.7,0,-6.36,1
253,1,0,39.56,53.19,96.54,0.53,52.66,50,-13.63,1
254,1,0,32.25,37.67,2738.62,13.7,23.97,0,-5.42,1
255,1,0,80.48,89.64,121.21,0.66,88.98,78,-9.16,1
256,1,0,4.38,23.94,1475.14,6.91,17.03,0,-19.56,2
257,1,1,7.55,17.96,85.97,0.46,17.5,0,-10.41,1
258,1,0,6.97,14.25,229.51,1.23,13.02,0,-7.28,2
259,1,0,69.27,78.8,6607.26,35.19,43.61,0,-9.530001,2
260,1,1,28.5,39.1,352.58,1.88,37.22,25,-10.6,1
261,1,0,-0.24,16.08,891.34,4.35,11.73,0,-16.32,2
262,0,0,30.49,36.24,4228.45,22.67,13.57,0,-5.75,1
263,1,0,26.69,35.22,2221.9,11.57,23.65,0,-8.53,2
264,1,0,27.09,36.3,474.53,2.27,34.03,29,-9.21,4
265,0,0,35.76,46.2,1797.34,9.63,36.57,0,-10.44,1
266,1,0,16.74,31.85,341.98,1.85,30,25,-15.11,1
267,1,0,51.88,67.59,1604.28,8.61,58.98,48,-15.71,2
268,1,0,53.89,59.5,3918.21,21.01,38.49,0,-5.61,2
269,1,0,-1.32,7.56,1139.4,6.11,1.45,0,-8.88,1
270,1,0,-19.42,8.97,165.83,0.89,8.08,0,-28.39,1
271,1,1,-0.4,2.99,-2.23,-0.01,3,0,-3.39,1
272,0,0,-3.83,2.92,288.68,1.55,1.37,0,-6.75,1
273,0,0,-9.309999,8.950001,1140.2,5.95,3,0,-18.26,2
274,1,0,81.52,96.00999,7269.92,36.34,59.67,0,-14.49,2
275,1,0,56.24,64.63,857.03,4.59,60.04,0,-8.39,2
276,1,0,17.23,29.31,73.58,0.39,28.92,18,-12.08,1
277,0,0,76.14,85.33,388.89,2.08,83.25,63,-9.19,2
278,1,0,42.91,62.12,232.25,1.21,60.91,24,-19.21,4
279,1,0,-6.51,1.49,342.52,1.49,0,0,-8,1
280,1,1,-0.12,0,0,0,0,0,-0.12,2
281,1,0,-3.58,3.76,22.21,0.12,3.64,0,-7.34,1
282,1,1,-2.46,1.49,-655.81,-3.51,5,0,-3.95,1
283,0,0,20.59,31.48,3355.98,17.99,13.49,0,-10.89,1
284,1,1,-2.21,16.88,848.97,4.03,12.85,0,-19.09,2
285,1,0,9.07,15.14,1334.23,7.14,8,0,-6.07,1
286,1,0,3.8,13.99,380.21,2.03,11.96,0,-10.19,1
287,0,0,25.29,31.01,1118.63,6,25.01,0,-5.72,1
288,1,0,2.64,11.6,319.54,1.71,9.89,0,-8.96,2
289,0,0,7.19,16.72,771.71,3.97,12.75,0,-9.53,2
290,1,0,27.24,30.11,21.34,0.11,30,30,-2.87,1
291,1,0,38.64,53.86,3527.85,18.91,34.95,0,-15.22,1
292,1,0,49.16,60.75,1028.89,5.53,55.22,0,-11.59,2
293,1,0,5.14,14.1,136.4,0.73,13.37,0,-8.96,2
294,1,0,7.22,17.63,23.71,0.13,17.5,0,-10.41,1
295,1,0,12.43,18.4,3400.71,18.22,0.18,0,-5.97,1
296,1,0,62.36,80.18,4486.95,25.97,54.21,0,-17.82,6
297,1,0,50.7,65.1,897.96,4.81,60.29,27,-14.4,1
298,1,0,44.95,54.77,1227.38,6.57,48.2,0,-9.82,2
299,1,0,24.66,31.65,2089.96,11.12,20.53,0,-6.99,2
300,0,0,-1,4.5,188.19,1.01,3.49,0,-5.5,1
301,1,0,2.64,6.8,150.43,0.8,6,0,-4.16,10
302,1,0,-2.59,2.94,55.62,0.29,2.65,0,-5.53,1
303,1,0,15.2,21.47,1109.01,5.94,15.53,0,-6.27,1
304,1,0,35.35,45.71,789.14,4.17,41.54,18,-10.36,2
305,1,0,-2.38,1.01,269.47,1.01,0,0,-3.39,1
306,1,0,82.56,91.01,315.89,1.69,89.32,48,-8.45,1
307,1,0,-3.96,5.33,1060.03,5.33,0,0,-9.29,3
308,1,0,5.73,13.13,2694.75,13.13,0,0,-7.400001,2
309,1,1,6.69,17.75,46.53,0.25,17.5,0,-11.06,1
310,1,0,20.57,26.58,2633.31,14.11,12.47,0,-6.01,1
311,0,0,19.21,23.63,4775.32,23.63,0,0,-4.42,1
312,1,1,-0.4,18.57,900.99,4.83,13.74,0,-18.97,1
313,1,0,10.08,13.08,55316.75,13.08,0,0,-3,2
314,1,0,4.65,14.4,703.06,3.67,10.73,0,-9.75,2
315,1,0,40.61,50.68,3335.54,17.84,32.84,5,-10.07,2
316,0,1,265.4,289.42,653.82,3.5,285.92,259.5,-24.02,1
317,1,0,-2.25,2.31,430.25,2.31,0,0,-4.56,1
318,1,0,3.05,13.17,744.12,3.93,9.24,0,-10.12,2
319,1,0,29.69,35.51,571.83,3.06,32.45,24,-5.82,1
320,1,0,9.45,19.46,1029.4,5.53,13.93,0,-10.01,2
321,0,0,19.47,32.41,3247.09,15.96,16.45,0,-12.94,2
322,0,0,-3.42,2.62,431.72,2.32,0.3,0,-6.04,2
323,0,0,16.39,21.63,3245.77,17.4,4.23,0,-5.24,1
324,0,1,-1.22,0,0,0,0,0,-1.22,1
325,1,0,-0.1,6.13,403.8,2.16,3.97,0,-6.23,2
326,0,0,18.8,32.76,1805.25,9.67,23.09,18,-13.96,1
327,0,0,75.65,85.10001,3435.88,85.10001,0,0,-9.45,2
328,1,0,24.56,34.46,961.62,5.15,29.31,0,-9.9,1
329,0,0,12.94,18.56,837.2,4.48,14.08,0,-5.62,2
330,1,0,35.8,42.32,392.23,2.1,40.22,24,-6.52,2
331,1,0,81.38,88.93,-62.22,-0.33,89.26,81,-7.55,2
332,1,0,-3.69,7.35,1407.77,5.79,1.56,0,-11.04,2
333,1,0,67.92,78.07,447.17,2.4,75.67,27,-10.15,1
334,0,0,6.2,22.13,196.99,1.07,21.06,0,-15.93,1
335,1,0,-0.28,6.5,291.81,1.57,4.93,0,-6.78,1
336,1,0,26.59,33.19,1522.45,7.71,25.48,0,-6.6,1
337,1,1,-0.58,8.51,268.86,1.44,7.07,0,-9.09,1
338,1,0,22.03,30.12,6125.49,28.67,1.45,0,-8.09,3
339,1,0,7.65,16.02,393.99,2.12,13.9,0,-8.37,2
340,1,0,-1.59,2.89,103.77,0.56,2.33,0,-4.48,1
341,1,0,-3.94,0,0.53,0,0,0,-3.94,1
342,0,0,-3.37,0.02,4.91,0.02,0,0,-3.39,1
343,1,0,-0.46,6.64,529.19,2.84,3.8,0,-7.1,1
344,1,0,13.6,19.98,346.91,1.84,18.14,0,-6.38,2
345,1,0,8.32,14.18,573.18,3.07,11.11,0,-5.86,2
346,1,0,8.82,20.72,6836.57,7.1,13.62,0,-11.9,4
347,1,0,25.94,38.87,376.16,2.01,36.86,0,-12.93,1
348,1,0,42.76,47.32,6209.47,33.26,14.06,0,-4.56,2
349,0,0,24.2,31.83,7600.94,31.83,0,0,-7.63,2
350,0,0,-1.25,7.49,732.77,3.93,3.56,0,-8.74,1
351,1,0,82.82,91.02,143.36,0.77,90.25,78,-8.2,1
352,1,1,-5.24,0.06,1.77,0.01,0.05,0,-5.3,1
353,1,0,-2.85,6.58,456.19,2.44,4.14,0,-9.43,1
354,1,0,57.25,83.64999,7312.1,39.07,44.58,0,-26.4,4
355,0,0,8.06,20.29,801.32,4.29,16,0,-12.23,1
356,1,0,80.69,88.92,10695.68,57.33,31.59,0,-8.23,1
357,1,1,15.61,21.66,1996.5,10.71,10.95,0,-6.05,2
358,1,0,6.42,20.49,151.67,0.81,19.68,0,-14.07,1
359,1,0,12.04,23.31,534.11,2.87,20.44,0,-11.27,4
360,1,0,18.59,29.11,1769.8,9.66,19.45,0,-10.52,8
361,1,0,10.49,18.31,371.66,1.99,16.32,0,-7.82,2
362,1,0,5.49,20.37,115.32,0.62,19.75,0,-14.88,1
363,1,0,22.37,33.44,2747.41,14.31,19.13,0,-11.07,2
364,1,0,62.07,74,474.1,2.54,71.46,56,-11.93,2
365,1,0,129.52,138.05,17774.53,95.27,42.78,0,-8.53,1
366,1,0,-5.96,1.32,146.94,0.79,0.53,0,-7.28,1
367,0,1,-2.49,0,0,0,0,0,-2.49,2
368,0,0,-4.12,4.53,846.33,4.53,0,0,-8.65,1
369,1,0,-2.95,2.72,72.03001,0.38,2.34,0,-5.67,2
370,1,0,6.25,13.83,579.42,3.1,10.73,0,-7.58,1
371,1,0,5.74,14.63,729.08,3.72,10.91,0,-8.89,2
372,1,0,3.42,10.29,1920.77,10.29,0,0,-6.87,1
373,1,0,-5.17,8.95,979.06,5.2,3.75,0,-14.12,2
374,1,0,-1.04,4.6,55.75,0.25,4.35,0,-5.64,1
375,1,1,-1.61,3.54,101.6,0.54,3,0,-5.15,1
376,1,1,-1.4,0.16,29.03,0.16,0,0,-1.56,1
377,1,0,18.47,32.07,2034.26,9.63,22.44,0,-13.6,2
378,1,0,33.26,44.84,540.43,2.77,42.07,0,-11.58,2
379,1,0,-2.17,2.44,396.71,2.14,0.3,0,-4.61,1
380,1,0,-3.01,5.36,263.46,1.41,3.95,0,-8.37,2
381,1,0,3.53,13.3,2479.72,13.3,0,0,-9.77,1
382,1,0,-4.39,6.46,198.53,0.98,5.48,0,-10.85,4
383,1,1,8.02,11.97,-5.11,-0.03,12,0,-3.95,1
384,1,0,-3.48,21.67,85.96,0.44,21.23,0,-25.15,2
385,0,0,9.88,14.71,316.34,1.71,13,0,-4.83,2
386,1,0,6.6,25.85,593.7,3.18,22.67,0,-19.25,2
387,1,0,15.92,24.36,2290.82,11.3,13.06,0,-8.440001,2
388,1,0,-8.18,4.31,56.75,0.3,4.01,0,-12.49,2
389,1,0,0.79,3.71,170.39,0.71,3,0,-2.92,2
390,1,0,80.63,87.11,340.92,1.83,85.28,72,-6.48,1
391,1,0,188.87,201.37,314.88,1.68,199.69,168,-12.5,2
392,1,1,-3.75,1.29,278.16,1.29,0,0,-5.04,1
393,1,0,335.47,350.81,266.72,1.43,349.38,327,-15.34,1
394,1,0,19.12,28.89,2435.9,12.8,16.09,0,-9.77,3
395,1,0,358.66,365.07,239.57,1.3,363.77,354.5,-6.41,1
396,0,0,5.15,11.26,2058.4,11.03,0.23,0,-6.11,1
